No,作者,作品名,年代,解説,画像のパス,音声パス,KOHURL
11,中西夏之,男子総カタログ'63,1963年,青写真用感光紙を複数枚繋いだ約12ｍの本作は、ハイレッド・センター（以下、HRC）による「シェルター計画」（1964年１月26／27日、帝国ホテル旧館で実施されたイベント。招待者の身体を計測・記録し、等身大「シェルター」を販売することを目的とした）において撮影されたHRC結社員・中西夏之、赤瀬川原平、和泉達の背面写真を、のちに中西が等身大でプリントした作品。土方巽アーカイヴ（アート・センター内）に紐づくかたちで慶應義塾にもたらされた。「土方巽＋中西夏之『背面』」展（2012年、アート・センター）に際し修復が計画された。長尺についだ紙をひろげた形状の本作は、展示でかかる負荷によって紙の傷みが深刻であったが、作家関係者の名前が入った当て紙がなされるなど、制作当時から展示の度に手当てがされてきた形跡が見られた。制作時の風合いや資料的価値を残すためにも、外形的には現状維持の方針をとることにした。展覧会前には、テープ跡の除去および繋いだ長尺紙面の損傷部・接合部に対し和紙と生麩糊を用いて展示に耐えうる補修・補強を施した。また展示後には、中性紙の専用保管容器を新調し、長期的な作品保存の手立てがとられた。［長谷川］,images/works/11.jpg,audio/jp/11.mp3,https://objecthub.keio.ac.jp/object/6192
12,イサム・ノグチ、谷口吉郎,旧ノグチ・ルーム,1951年竣工、2003年の第二研究室解体に伴い、形を変えて一部移築。,「ノグチ・ルーム」は、1951年に建築家谷口吉郎と彫刻家イサム・ノグチの協働によって三田キャンパスにつくられた、第二研究室棟１階の庭と彫刻を伴う談話室である。この建築空間は2003年の南館建設に伴い解体され、南館3階のルーフテラスへ、形を変えて一部移築された。移築後の「旧ノグチ・ルーム」は、ニューヨークのイサム・ノグチ財団および庭園美術館への《丸椅子》ほか家具類の貸出を契機として、2007年度に全面的な修復が行われた。修復時の調査により、ノグチが用いた、当時日本で一般的に使われていた素材は、現在では入手しにくいものであることが判明。可能な限りオリジナルと合う素材を探し、修復が進められた。また、ルーフテラスに移築されたことで直射日光が多く差し込むようになり、家具の劣化が進行していることが確認された。そこで、2011年度には家具専用カバーを設置し、紫外線カットフィルムを全窓面に取り付けることで保存状態が飛躍的に改善。その後は年に一度専門家による状態の点検、清掃、保護ワックスの塗布等、継続的なケアを実施している。現在は通常内部非公開としつつ、定期的に公開の機会を設け、利用者には使用上の注意点を記したガイドラインを明示。保存と活用のバランスをとりながら、建築空間の継承に取り組んでいる。［桐島］,images/works/12.jpg,audio/jp/12.mp3,https://objecthub.keio.ac.jp/object/6397
13,西脇順三郎,作品,,西脇順三郎は、大正から昭和期に活動した詩人および英文学者である。幼少期に画家を目指していたこともあり、画家の道を断念した後もしばしば絵画制作を続けていた。近年ではこれらの作品が展示・公開される機会も多いが、西脇は自身の絵画制作を画家としてのものではなく、あくまで素人のものという立場に身をおき続けていたため、知人の似顔絵など気軽な姿勢で制作された作品も多く残されている。本作もその一例に類するものであると考えられ、一般的には油彩画に用いられるカンヴァスが支持体として選ばれているが、非常に素早く絵筆で画面をなぞったようなタッチで、人物の頭部や身体の他に、動植物のようなものも描かれている。使用されている水性絵具が下地に対し固着不良を起こしていたのか、本作が寄贈された時点で絵具層の大部分に亀裂や剥落が生じていた。従ってそのままでは収蔵保管することが困難であることから早急に修復処置が検討された。剥落部分が広範囲に及ぶことから現状維持を優先し、脆弱な絵具層に対して充填・補彩は行わず固着を強化する処置が行われた。現在でも、痛々しい剥落部分の断面が観察できる。［山田］,images/works/13.jpg,audio/jp/13.mp3,https://objecthub.keio.ac.jp/object/6193
14,大熊氏廣、鈴木長吉,福澤諭吉還暦祝 灯台,1897年,福澤諭吉の還暦祝いで寄附が募られ制作された本作は、明治期における洋風彫刻の旗手である彫刻家・大熊氏廣が原型を、江戸時代からの鋳物技術を受け継ぐ金工師・鈴木長吉が鋳造を手がけ、西洋からの技法と日本の伝統技法が混ざり合う明治期ならではの表現を今に伝える作品である。灯台本体は配合の異なる2種の合金により5層の模様をもち、下部にあるしぶきまで表された荒波は銀で、精巧な岩礁は銅で造られ、大熊の得意とする躍動的表現と、鈴木の精緻な技巧をみることができる。長らく破損状態で保管されていたが「未来をひらく福澤諭吉」展（2009年、東京国立博物館ほか）に向け修復を開始。作業にあたっては、作品に附されていた材料・寸法を記した完成図および写真資料（明治期の印刷物）が重要な手がかりとなった。修復の基本方針としては展覧会出品を念頭に、主に欠失・変形していた金属部分について材料の一致を追求しない外形復元にとどめることとし、入手・加工しやすい真鍮やポリエステル樹脂を用い、附資料を参照し再現された。また駆動部は修理せず、色調も経年による金属酸化の状態のままとした。［長谷川］,images/works/14.jpg,audio/jp/14.mp3,https://objecthub.keio.ac.jp/object/6177
15,和田嘉平治,福澤諭吉像,1932年,大分県中津市・福澤記念館に置かれていた福澤諭吉像を制作するための石膏原型である。銅造像は第二次世界大戦中の金属供出により失われ、本石膏像のみが当初の姿を伝えている。慶應義塾端艇部合宿所の食堂に設置されていたため、脆弱な石膏像は、長年の間に鼻や耳、張り出した袖など各所に欠損が生じ、材質不明の粘着剤や透明テープ等で仮処置が施されていた。修復では、古い修理痕を除去し、適切な石膏で形状を復元。新たにシリコン製の型をとってFRP像を制作し、端艇部合宿所に代像として設置した。石膏像本体は、像の底面に固定用材を取り付け、平らな底面を充てて像の安定を確保し、最終的な形状補整と補彩が施されて、三田キャンパスの倉庫に収められた。なお福澤記念館の銅造像は、和田嘉平治の手で戦後に再建され、新像の石膏原型も遺族の寄贈により慶應義塾の所蔵となっている。二度にわたって福澤像を制作した和田は、深く福澤を敬愛していた。1908年に東京美術学校を卒業し、大戦前後に活躍した彫刻家であるが、和田の作品に限らず同時代の銅造像は戦禍で失われたものも多く、石膏原型の保存は、近代日本彫刻史上重要な価値をもつ。［島田］,images/works/15.jpg,audio/jp/15.mp3,https://objecthub.keio.ac.jp/object/6336
16,長谷川栄作,引接,1917年,1917年の第11回文展特選首席受賞作である。同年の長谷川栄作は、日本彫刻会を脱退し、木彫団体・栴檀社を結成。奈良・新薬師寺薬師如来坐像に感銘を受けて制作に及んだという本作では、日本古来の木彫によって、深い精神性を追求した新しい裸婦像を実現している。タイトルの「引接」は如来が来迎して極楽へ導くことを意味する仏語で、観者に向けられた掌は印相を示し、仏像表現の要素が多分に意識されている。一方で、仏像からはなれた表現、すなわち女性の裸婦であることを特徴づけるために、当初は像表面になんらかの白色彩色が施されていた可能性が高い。2008年の修復では、複数箇所に散見される白い残留物、また頭髪および地山との色調の差異などが慎重に判断され、丁寧な明度補整を繰り返すことで、木彫の質感を取り戻した。また左手の小指にも欠損があったが、幸い指先は大切に保管されており、同修復時に接続補修が行われている。藤山記念日吉図書館（現藤山記念館。1985年の新たな日吉図書館の建設に伴い記念館となる）とともに本作も寄贈され、日吉に新図書館ができるまでは同図書館内にあったと思われる。新図書館の倉庫に保管されていたが、三田キャンパスへの移送を機に修復を行った。［島田］,images/works/16.jpg,audio/jp/16.mp3,https://objecthub.keio.ac.jp/object/5953
17,河野通勢,箱根芦ノ湖風景,,河野通勢は油彩を用いた細密な画風を得意とし、晩年には多数の挿絵を手がけたことで知られる。岸田劉生率いる草土社に参加したことで、岸田の推薦を受けて1923年に草土社の同人である清宮彬と共に慶應義塾幼稚舎の図画科の担任教師に就任した。1927年に椿貞夫と交代する形で河野は幼稚舎から退職することになるのだが、本作はその教員生活の記念として幼稚舎に寄贈されたものである。正確な制作時期や寄贈年は不明だが、様式的特徴から昭和後期に制作されたと推測される。2005年に修復措置が行われた際は、画面に亀裂が多数発生し、樹木部分の彩色層には浮き上がりや剥落も確認された。また作品を保護する額についても、構造が脆弱であることや吊り金具や紐の強度が充分でないこと、ガラスに黴が発生していることが報告書で記述されている。以上から、修復の方針は、汚れの除去と損傷部分に対する剥落止めや充填補彩など「最小限度の対症的な処置を行う」ことと、額の新調と、額に対する作品の固定の改善、補強を行うことに決定された。［山田］,images/works/17.jpg,audio/jp/17.mp3,https://objecthub.keio.ac.jp/object/6223
18,須田寿,家鴨,1947年,須田寿は初期の活動においてアカデミズム色の強い油彩画を特徴としていたが、終戦後はピカソのキュビズム絵画を吸収し、以降それまでとは大きく異なる性格の画面へと自己変革を行った作家である。本作は、終戦後の1947年第3回日展に出品、特選となったのち、翌年1948年に作家から慶應義塾に寄贈されたもの。1949年から1952年まで、慶應義塾中等部の美術技術担当の教諭となっている。1999年の修復報告書では、画面保護が十分でなかったために、埃とヤニによる画面の汚れが目立ち、色調が顕著に影響を与えていたことが示されている。また、経年劣化により絵具層も脆弱で「非常に危険な状態」であることも報告された。以上から処置の方針として、画面の洗浄、剥落留め、画布の補強および貼り直し、額装の改善が決定された。修復後は、画面の色調が改善され、画布の波打ちも軽減された。また、額装の際にはスペーサーを挿入するなどして作品の固定が強化された。作品は現在も、慶應義塾中等部にかけられている。［山田］,images/works/18.jpg,audio/jp/18.mp3,https://objecthub.keio.ac.jp/object/5981
19,井上公三,花 グランドスイング,,井上公三は1960年に慶應義塾大学を卒業後、渡仏。アカデミー・ド・ラ・グランド・ショミエールで学んだ後、パリを中心に制作活動を行う。井上の作風は、モティーフの簡潔なフォルムと繊細な濃淡表現を特徴とし、シルクスクリーン版画を出発点として、壁画やデザインなど環境芸術の分野でも多くの作品を残した。本作は藤山記念日吉図書館の壁面装飾として制作された。5枚組の作品だが、図書館移転後に取り外された際、2枚と3枚に分けて保管された。その後一部がしばらく行方不明となるが、後年発見。5枚共損傷があり、埃等の汚れや支持体の破損などが確認された。また、作品下部が手の届く高さにあったことから、一部のカンヴァスには落書き等の汚損もみられた。そのため、5枚まとめて修復処置を施し、汚れの除去や破損箇所の補修を行った。鉛筆で書かれた落書きについては、除去が困難であったため、水彩絵具で補彩。支持体の破損箇所は、亜麻の繊維でかけはぎを行った。本作は、色数が少なく、繰り返されるモティーフの濃淡表現が5枚それぞれ少しずつ異なっている。加えて5枚の汚れの程度がさまざまであったため、補彩の調整を慎重に行い、修復には多くの時間を要した。［桐島］,images/works/19.jpg,audio/jp/19.mp3,https://objecthub.keio.ac.jp/object/6081
20,大山エンリコイサム,慶應義塾志木高等学校 壁画,2003年,独自のモティーフ「Quick Turn Structure (QTS) 」を展開させる現代美術作家・大山エンリコイサムが慶應義塾志木高等学校卒業時に制作した、作家としての出発点を示す一作品。高校時代よりライティング・カルチャーへの強い関心を示しており、やや文字としての様相を残すものの抽象的な形態として展開する本作にも、すでにQTSへの予兆がみられる。学校を囲うブロック塀の一部に描かれた本作は、長年、校庭の片隅に佇んでいたが、経年によるコンクリート強度の問題から建替え工事が必要となり、志木高等学校からの発信で作品保存のプロジェクトが立ち上がり、2019年より現地調査を開始。支持体がブロック塀という立体構造物である点から彫刻の修復専門家と、制作技法としてはエアロゾル塗料による描画である点から絵画の修復専門家の両者による調査が行われ、その報告をもとに志木高等学校・義塾の建物工事監督者・学内美術専門家・学外修復専門家そして作家本人といった複数者により作品保存の方針について議論を重ねている。本件は、ストリート・アートの保存、建造物としての作品、教育現場にある作品といった複合的観点から、現代美術の修復について考察する挑戦的プロジェクトともいえる。［長谷川］,images/works/20.jpg,audio/jp/20.mp3,https://objecthub.keio.ac.jp/object/6394
